No,Filename,Width,Height,AspectRatio,PixelAspectRatio,RatioSource,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category,ImageArea_SxS,TextArea_SxS
1,image_001.png,524,67,7.45,7.82,manifest,1,,bitmap,True,True,32.6,Ultra-wide,1160x156,1160x424
2,image_002.jpeg,1220,1003,1.22,1.22,manifest,1,,bitmap,True,True,266.7,Standard landscape,730x600,410x600
3,image_003.jpeg,1255,1038,1.21,1.21,manifest,1,,bitmap,True,True,399.8,Standard landscape,725x600,415x600
4,image_004.jpeg,1266,1033,2.32,1.23,manifest,1,,bitmap,True,True,240.5,Ultra-wide,812x350,328x600
5,image_005.jpeg,619,464,1.33,1.33,manifest,1,,bitmap,True,True,65.7,Standard landscape,800x600,340x600
6,image_006.jpeg,613,460,1.33,1.33,manifest,1,,bitmap,True,True,59.7,Standard landscape,800x600,340x600
7,image_007.jpeg,1268,897,1.41,1.41,manifest,1,,bitmap,True,True,194.0,Standard landscape,848x600,292x600
8,image_008.jpeg,1135,803,1.43,1.41,manifest,1,,bitmap,True,True,168.6,Standard landscape,858x600,282x600
9,image_009.png,821,441,1.86,1.86,manifest,1,,bitmap,True,True,11.1,Wide landscape,812x436,328x600
10,image_010.jpeg,1272,900,1.43,1.41,manifest,1,,bitmap,True,True,231.8,Standard landscape,857x600,283x600
11,image_011.jpeg,1272,900,1.41,1.41,manifest,1,,bitmap,True,True,243.1,Standard landscape,848x600,292x600
12,image_012.png,1622,1147,1.34,1.41,manifest,1,,bitmap,True,True,3247.9,Standard landscape,805x600,335x600
13,image_013.png,1997,1411,1.70,1.42,manifest,1,,bitmap,True,True,2542.4,Wide landscape,812x479,328x600
14,image_014.jpeg,615,461,1.33,1.33,manifest,1,,bitmap,True,True,92.1,Standard landscape,800x600,340x600
15,image_015.jpeg,615,820,1.33,0.75,manifest,1,,bitmap,True,True,160.7,Standard landscape,801x600,339x600
16,image_016.jpeg,615,819,1.19,0.75,manifest,1,,bitmap,True,True,99.1,Near square,712x600,428x600
17,image_017.jpeg,615,820,1.18,0.75,manifest,1,,bitmap,True,True,164.3,Near square,708x600,432x600
18,image_018.jpeg,615,462,1.33,1.33,manifest,1,,bitmap,True,True,54.5,Standard landscape,799x600,341x600
19,image_019.jpeg,615,461,1.33,1.33,manifest,1,,bitmap,True,True,66.0,Standard landscape,800x600,340x600
20,image_020.jpeg,617,823,1.29,0.75,manifest,1,,bitmap,True,True,110.3,Standard landscape,774x600,366x600
21,image_021.jpeg,1706,1279,1.29,1.33,manifest,1,,bitmap,True,True,351.8,Standard landscape,773x600,367x600
22,image_022.jpeg,1706,1279,1.33,1.33,manifest,1,,bitmap,True,True,351.8,Standard landscape,800x600,340x600
23,image_023.jpeg,616,462,1.33,1.33,manifest,1,,bitmap,True,True,76.7,Standard landscape,800x600,340x600
24,image_024.jpeg,613,460,1.33,1.33,manifest,1,,bitmap,True,True,46.3,Standard landscape,800x600,340x600
25,image_025.jpeg,696,521,1.33,1.34,manifest,1,,bitmap,True,True,78.3,Standard landscape,801x600,339x600
26,image_026.png,150,56,2.65,2.68,manifest,1,,bitmap,True,True,1.0,Ultra-wide,812x307,328x600
27,image_027.png,705,383,1.77,1.84,manifest,1,,bitmap,True,True,3.4,Wide landscape,812x458,328x600
28,image_028.jpeg,616,462,1.33,1.33,manifest,1,,bitmap,True,True,68.3,Standard landscape,801x600,339x600
29,image_029.jpeg,625,468,1.33,1.34,manifest,1,,bitmap,True,True,92.0,Standard landscape,801x600,339x600
30,image_030.jpeg,612,459,1.33,1.33,manifest,1,,bitmap,True,True,57.9,Standard landscape,801x600,339x600
31,image_031.jpeg,620,465,1.33,1.33,manifest,1,,bitmap,True,True,50.7,Standard landscape,800x600,340x600
32,image_032.jpeg,595,446,1.33,1.33,manifest,1,,bitmap,True,True,72.2,Standard landscape,800x600,340x600
33,image_033.jpeg,597,448,1.33,1.33,manifest,1,,bitmap,True,True,53.0,Standard landscape,800x600,340x600
34,image_034.png,881,802,1.10,1.10,manifest,1,,bitmap,True,True,1407.2,Near square,659x600,481x600
35,image_035.png,769,573,1.34,1.34,manifest,1,,bitmap,True,True,414.6,Standard landscape,804x600,336x600
36,image_036.jpeg,443,355,1.16,1.25,manifest,1,,bitmap,True,True,26.6,Near square,693x600,447x600
37,image_037.png,865,627,1.38,1.38,manifest,1,,bitmap,True,True,221.1,Standard landscape,829x600,311x600
38,image_038.png,367,118,3.14,3.11,manifest,1,,bitmap,True,True,5.2,Ultra-wide,1160x370,1160x210
39,image_039.png,828,667,1.24,1.24,manifest,1,,bitmap,True,True,267.6,Standard landscape,744x600,396x600
40,image_040.png,739,788,0.94,0.94,manifest,1,,bitmap,True,True,387.2,Near square,563x600,577x600
41,image_041.png,1269,327,3.88,3.88,manifest,1,,bitmap,True,True,285.2,Ultra-wide,1160x299,1160x281
42,image_042.png,1269,286,4.43,4.44,manifest,1,,bitmap,True,True,280.6,Ultra-wide,1160x262,1160x318
43,image_043.png,1323,662,2.00,2.00,manifest,1,,bitmap,True,True,282.9,Wide landscape,812x406,328x600
44,image_044.png,1350,392,3.44,3.44,manifest,1,,bitmap,True,True,312.6,Ultra-wide,1160x337,1160x243
45,image_045.png,1269,592,2.14,2.14,manifest,1,,bitmap,True,True,295.5,Ultra-wide,812x379,328x600
46,image_046.png,1269,342,3.71,3.71,manifest,1,,bitmap,True,True,296.4,Ultra-wide,1160x313,1160x267
47,image_047.png,1269,460,2.76,2.76,manifest,1,,bitmap,True,True,345.4,Ultra-wide,1160x421,1160x159
48,image_048.png,1406,550,2.56,2.56,manifest,1,,bitmap,True,True,337.2,Ultra-wide,812x318,328x600
49,image_049.png,1269,430,2.95,2.95,manifest,1,,bitmap,True,True,335.8,Ultra-wide,1160x393,1160x187
50,image_050.png,567,862,0.66,0.66,manifest,1,,bitmap,True,True,91.8,Portrait,395x600,745x600
51,image_051.png,1195,571,2.09,2.09,manifest,1,,bitmap,True,True,286.7,Ultra-wide,812x388,328x600
52,image_052.png,1269,421,3.02,3.01,manifest,1,,bitmap,True,True,345.0,Ultra-wide,1160x385,1160x195
53,image_053.png,1326,325,4.08,4.08,manifest,1,,bitmap,True,True,334.4,Ultra-wide,1160x284,1160x296
54,image_054.png,1101,617,1.78,1.78,manifest,1,,bitmap,True,True,261.1,Wide landscape,812x455,328x600
55,image_055.png,1269,535,2.37,2.37,manifest,1,,bitmap,True,True,401.8,Ultra-wide,812x342,328x600
56,image_056.png,1214,679,1.79,1.79,manifest,1,,bitmap,True,True,250.7,Wide landscape,812x454,328x600
57,image_057.png,1269,434,2.92,2.92,manifest,1,,bitmap,True,True,428.8,Ultra-wide,1160x397,1160x183
58,image_058.png,1269,280,4.53,4.53,manifest,1,,bitmap,True,True,330.3,Ultra-wide,1160x256,1160x324
59,image_059.png,1269,445,2.85,2.85,manifest,1,,bitmap,True,True,426.6,Ultra-wide,1160x407,1160x173
60,image_060.png,1002,1060,0.95,0.95,manifest,1,,bitmap,True,True,207.0,Near square,567x600,573x600
61,image_061.png,353,153,2.28,2.31,manifest,1,,bitmap,True,True,2.7,Ultra-wide,812x355,328x600
62,image_062.jpeg,506,527,0.96,0.96,manifest,1,,bitmap,True,True,17.7,Near square,576x600,564x600
63,image_063.png,657,587,1.12,1.12,manifest,1,,bitmap,True,True,45.0,Near square,673x600,467x600
64,image_064.png,369,379,0.97,0.97,manifest,1,,bitmap,True,True,22.9,Near square,584x600,556x600
65,image_065.png,408,229,1.74,1.78,manifest,1,,bitmap,True,True,4.4,Wide landscape,812x467,328x600
66,image_066.png,480,461,1.04,1.04,manifest,1,,bitmap,True,True,20.0,Near square,625x600,515x600
67,image_067.png,495,275,1.80,1.80,manifest,1,,bitmap,True,True,5.4,Wide landscape,812x451,328x600
68,image_068.png,357,347,1.03,1.03,manifest,1,,bitmap,True,True,29.3,Near square,618x600,522x600
69,image_069.png,493,270,1.83,1.83,manifest,1,,bitmap,True,True,6.0,Wide landscape,812x445,328x600
70,image_070.png,374,375,1.00,1.00,manifest,1,,bitmap,True,True,23.1,Near square,598x600,542x600
71,image_071.png,395,216,1.83,1.83,manifest,1,,bitmap,True,True,4.4,Wide landscape,812x444,328x600
72,image_072.png,375,376,1.00,1.00,manifest,1,,bitmap,True,True,33.8,Near square,598x600,542x600
73,image_073.png,397,231,1.72,1.72,manifest,1,,bitmap,True,True,4.4,Wide landscape,812x472,328x600
74,image_074.png,351,347,1.01,1.01,manifest,1,,bitmap,True,True,35.5,Near square,607x600,533x600
75,image_075.png,494,275,1.80,1.80,manifest,1,,bitmap,True,True,6.1,Wide landscape,812x452,328x600
76,image_076.png,393,378,1.04,1.04,manifest,1,,bitmap,True,True,20.5,Near square,624x600,516x600
77,image_077.png,493,275,1.79,1.79,manifest,1,,bitmap,True,True,5.9,Wide landscape,812x453,328x600
78,image_078.png,358,347,1.03,1.03,manifest,1,,bitmap,True,True,28.9,Near square,620x600,520x600
79,image_079.png,495,275,1.80,1.80,manifest,1,,bitmap,True,True,6.0,Wide landscape,812x451,328x600
80,image_080.wmf,276,46,5.97,6.24,manifest,1,,office_vector,False,True,1.4,Ultra-wide,1160x194,1160x386
81,image_081.wmf,90,24,3.79,4.00,manifest,1,,office_vector,False,True,0.7,Ultra-wide,1160x306,1160x274
82,image_082.png,1700,624,2.72,2.72,manifest,1,,bitmap,True,True,56.1,Ultra-wide,1160x426,1160x154
83,image_083.png,1202,426,2.82,2.82,manifest,1,,bitmap,True,True,33.3,Ultra-wide,1160x411,1160x169
84,image_084.png,1186,486,2.44,2.44,manifest,1,,bitmap,True,True,34.6,Ultra-wide,812x333,328x600
85,image_085.png,902,430,2.10,2.10,manifest,1,,bitmap,True,True,32.6,Ultra-wide,812x387,328x600
86,image_086.png,1082,446,2.43,2.43,manifest,1,,bitmap,True,True,31.6,Ultra-wide,812x335,328x600
87,image_087.png,884,416,2.13,2.12,manifest,1,,bitmap,True,True,29.8,Ultra-wide,812x382,328x600
88,image_088.png,1308,546,2.40,2.40,manifest,1,,bitmap,True,True,52.2,Ultra-wide,812x339,328x600
89,image_089.png,1920,1019,1.88,1.88,manifest,1,,bitmap,True,True,125.4,Wide landscape,812x431,328x600
90,image_090.png,226,226,1.00,1.00,manifest,1,,bitmap,True,True,94.8,Near square,600x600,540x600
91,image_091.png,226,226,1.00,1.00,manifest,1,,bitmap,True,True,72.5,Near square,600x600,540x600
92,image_092.jpeg,1243,967,1.39,1.29,manifest,1,,bitmap,True,True,184.2,Standard landscape,833x600,307x600
93,image_093.png,514,648,0.89,0.79,manifest,1,,bitmap,True,True,383.2,Near square,534x600,606x600
94,image_094.jpeg,606,1079,0.88,0.56,manifest,1,,bitmap,True,True,128.3,Near square,530x600,610x600
95,image_095.jpeg,606,1043,0.88,0.58,manifest,1,,bitmap,True,True,111.6,Near square,530x600,610x600
96,image_096.jpeg,1219,686,0.93,1.78,manifest,1,,bitmap,True,True,303.0,Near square,555x600,585x600
97,image_097.jpeg,912,686,0.88,1.33,manifest,1,,bitmap,True,True,172.3,Near square,530x600,610x600
98,image_098.jpeg,606,798,0.88,0.76,manifest,1,,bitmap,True,True,83.8,Near square,530x600,610x600
99,image_099.jpeg,1107,826,0.88,1.34,manifest,1,,bitmap,True,True,233.3,Near square,530x600,610x600
100,image_100.png,671,686,0.88,0.98,manifest,1,,bitmap,True,True,419.4,Near square,530x600,610x600
101,image_101.jpeg,1268,1057,1.20,1.20,manifest,1,,bitmap,True,True,216.4,Standard landscape,720x600,420x600
102,image_102.jpeg,1269,971,1.08,1.31,manifest,1,,bitmap,True,True,78.7,Near square,649x600,491x600
103,image_103.jpeg,772,591,1.30,1.31,manifest,1,,bitmap,True,True,29.2,Standard landscape,782x600,358x600
104,image_104.jpeg,770,590,1.24,1.31,manifest,1,,bitmap,True,True,29.0,Standard landscape,742x600,398x600
105,image_105.jpeg,1269,971,1.21,1.31,manifest,1,,bitmap,True,True,45.0,Standard landscape,724x600,416x600
106,image_106.jpeg,1269,971,1.24,1.31,manifest,1,,bitmap,True,True,51.6,Standard landscape,742x600,398x600
107,image_107.jpeg,1269,971,1.22,1.31,manifest,1,,bitmap,True,True,40.7,Standard landscape,734x600,406x600
108,image_108.jpeg,1494,1144,1.24,1.31,manifest,1,,bitmap,True,True,87.3,Standard landscape,744x600,396x600
109,image_109.jpeg,1268,1052,1.20,1.21,manifest,1,,bitmap,True,True,104.7,Standard landscape,723x600,417x600
110,image_110.jpeg,286,194,1.48,1.47,manifest,1,,bitmap,True,True,8.4,Standard landscape,812x549,328x600
111,image_111.png,543,472,1.18,1.15,manifest,1,,bitmap,True,True,216.9,Near square,709x600,431x600
112,image_112.jpeg,615,461,1.33,1.33,manifest,1,,bitmap,True,True,92.1,Standard landscape,800x600,340x600
113,image_113.jpeg,615,820,1.33,0.75,manifest,1,,bitmap,True,True,160.7,Standard landscape,801x600,339x600
114,image_114.jpeg,615,819,1.19,0.75,manifest,1,,bitmap,True,True,99.1,Near square,712x600,428x600
115,image_115.jpeg,615,820,1.18,0.75,manifest,1,,bitmap,True,True,164.3,Near square,708x600,432x600
116,image_116.jpeg,615,757,0.81,0.81,manifest,1,,bitmap,True,True,118.7,Near square,487x600,653x600
117,image_117.jpeg,615,757,0.81,0.81,manifest,1,,bitmap,True,True,143.8,Near square,487x600,653x600
118,image_118.jpeg,615,462,1.33,1.33,manifest,1,,bitmap,True,True,54.5,Standard landscape,799x600,341x600
119,image_119.jpeg,615,461,1.33,1.33,manifest,1,,bitmap,True,True,66.0,Standard landscape,800x600,340x600
120,image_120.jpeg,796,597,1.27,1.33,manifest,1,,bitmap,True,True,89.3,Standard landscape,762x600,378x600
121,image_121.jpeg,676,484,1.27,1.40,manifest,1,,bitmap,True,True,105.0,Standard landscape,762x600,378x600
122,image_122.jpeg,973,513,2.00,1.90,manifest,1,,bitmap,True,True,108.8,Wide landscape,812x406,328x600
123,image_123.jpeg,903,519,2.00,1.74,manifest,1,,bitmap,True,True,106.0,Wide landscape,812x406,328x600
124,image_124.jpeg,520,386,2.00,1.35,manifest,1,,bitmap,True,True,51.4,Wide landscape,812x406,328x600
125,image_125.jpeg,608,452,2.00,1.35,manifest,1,,bitmap,True,True,76.4,Wide landscape,812x406,328x600
126,image_126.jpeg,602,428,2.00,1.41,manifest,1,,bitmap,True,True,67.1,Wide landscape,812x406,328x600
127,image_127.jpeg,594,425,2.00,1.40,manifest,1,,bitmap,True,True,67.0,Wide landscape,812x406,328x600
128,image_128.jpeg,632,451,2.00,1.40,manifest,1,,bitmap,True,True,68.0,Wide landscape,812x406,328x600
129,image_129.jpeg,470,704,0.50,0.67,manifest,1,,bitmap,True,True,84.6,Portrait,300x600,840x600
130,image_130.jpeg,1269,868,1.46,1.46,manifest,1,,bitmap,True,True,100.1,Standard landscape,812x556,328x600
131,image_131.jpeg,1269,868,1.46,1.46,manifest,1,,bitmap,True,True,102.6,Standard landscape,812x556,328x600
132,image_132.jpeg,1269,868,1.46,1.46,manifest,1,,bitmap,True,True,101.4,Standard landscape,812x556,328x600
133,image_133.jpeg,1269,868,1.46,1.46,manifest,1,,bitmap,True,True,98.1,Standard landscape,812x556,328x600
134,image_134.jpeg,1269,868,1.46,1.46,manifest,1,,bitmap,True,True,98.6,Standard landscape,812x556,328x600
135,image_135.jpeg,1167,743,1.57,1.57,manifest,1,,bitmap,True,True,72.6,Wide landscape,812x517,328x600
136,image_136.png,1281,1812,1.37,0.71,manifest,1,,bitmap,True,True,435.0,Standard landscape,823x600,317x600
137,image_137.png,1411,997,2.35,1.42,manifest,1,,bitmap,True,True,279.2,Ultra-wide,812x345,328x600
138,image_138.png,1366,965,1.69,1.42,manifest,1,,bitmap,True,True,275.8,Wide landscape,812x481,328x600
139,image_139.png,1416,1001,1.39,1.41,manifest,1,,bitmap,True,True,271.6,Standard landscape,832x600,308x600
140,image_140.png,1370,969,1.59,1.41,manifest,1,,bitmap,True,True,411.4,Wide landscape,812x509,328x600
141,image_141.png,1402,991,1.51,1.41,manifest,1,,bitmap,True,True,360.4,Wide landscape,812x537,328x600
142,image_142.png,1374,971,1.55,1.42,manifest,1,,bitmap,True,True,330.0,Wide landscape,812x522,328x600
143,image_143.jpeg,1268,1141,1.11,1.11,manifest,1,,bitmap,True,True,236.0,Near square,667x600,473x600
144,image_144.jpeg,807,1142,1.55,0.71,manifest,1,,bitmap,True,True,58.8,Wide landscape,812x523,328x600
145,image_145.png,1044,658,1.59,1.59,manifest,1,,bitmap,True,True,106.8,Wide landscape,812x512,328x600
